pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
1	子供たちのグループが庭で遊んでいて、後ろの方には年を取った男性が立っている	庭にいる男の子たちのグループが遊んでいて、男性が後ろの方に立っている	3.7	neutral
2	子供たちのグループが家の中で遊んでいて、後ろの方に立っている男性は一人もいない	子供たちのグループが庭で遊んでいて、後ろの方には年を取った男性が立っている	2.3	contradiction
3	幼い男の子たちが戸外で遊んでいて、その男性が近くで微笑んでいる	子供たちが戸外で遊んでいて、近くに微笑んでいる男性がいる	4.3	entailment
5	子供たちが戸外で遊んでいて、近くに微笑んでいる男性がいる	子供たちのグループが庭で遊んでいて、後ろの方には年を取った男性が立っている	3.3	neutral
9	幼い男の子たちが戸外で遊んでいて、その男性が近くで微笑んでいる	子供たちのグループが庭で遊んでいて、後ろの方には年を取った男性が立っている	3.0	neutral
12	二匹の犬が喧嘩をしている	二匹の犬が取っ組み合い、もつれ合っている	3.3	neutral
14	茶色の犬が、ズボンをはいた男性の前にいる別の動物に襲いかかっている	二匹の犬が喧嘩をしている	2.0	neutral
18	茶色の犬が、ズボンをはいた男性の前にいる別の動物に襲いかかっている	二匹の犬が取っ組み合い、もつれ合っている	1.7	neutral
25	後輪走行でその自転車に乗っている人は一人もいない	黒いジャケットを着た人がバイクに乗って芸をしている	1.7	neutral
26	ある人が後輪走行でその自転車に乗っている	黒いジャケットを着た男性がバイクに乗って芸をしている	1.3	neutral
28	黒いバイクに乗った人がジャケットで芸をしている	ある人が後輪走行でその自転車に乗っている	1.3	neutral
30	ジャージを着た男性がバスケットボールの試合でボールをダンクしている	そのボールは、バスケットボールの試合でジャージを着た男性にダンクされている	4.3	entailment
35	ジャージを着た男性がバスケットボールの試合でボールをダンクしている	プレイしている男性がバスケットボールをダンクしネットの中に入れ、群衆が後ろの方にいる	3.0	neutral
40	その選手はバスケットボールをダンクしネットの中に入れ、群衆が後ろの方にいる	ジャージを着た男性がバスケットボールの試合でボールをダンクしている	2.7	neutral
42	二人の人がキックボクシングをしていて、観客が観ていない	二人の人がキックボクシングをしていて、観客が観ている	4.0	contradiction
44	二人の若い女性がキックボクシングの試合でスパーリングをしている	二人の女性がキックボクシングの試合でスパーリングをしている	4.7	entailment
45	二人の若い女性がキックボクシングの試合でスパーリングをしていない	二人の女性がキックボクシングの試合でスパーリングをしている	3.7	contradiction
47	二人の人がキックボクシングをしていて、観客が観ている	二人の若い女性がキックボクシングの試合でスパーリングをしていない	2.7	neutral
49	二人の女性がキックボクシングの試合でスパーリングをしている	二人の人がキックボクシングをしていて、観客が観ていない	2.7	neutral
55	三人の男の子たちが木の葉の中で跳ねている	三人の男の子たちが木の葉の中で跳ねている	5.0	entailment
56	三人の男の子たちが木の葉の中で座っている	三人の男の子たちが木の葉の中で跳ねている	4.3	contradiction
58	赤いシャツを着た子供たちが木の葉の中で遊んでいる	三人の男の子たちが木の葉の中で座っている	3.3	neutral
62	赤いシャツを着た子供たちが木の葉の中で遊んでいる	三人の男の子たちが木の葉の中で跳ねている	3.3	neutral
65	二人のエンジェルが寝そべっている子供たちの上に雪を作っている	二人の子供たちが雪の中で寝そべってスノーエンジェルを作っている	2.3	neutral
70	二人の子供たちが雪の中で寝そべってエンジェルを描いている	スノースーツを着た二人の人が雪の中で寝そべってスノーエンジェルを作っている	3.0	neutral
72	スノースーツを着た二人の人が雪の中で寝そべってスノーエンジェルを作っている	二人のエンジェルが寝そべっている子供たちの上に雪を作っている	2.0	neutral
73	二人の子供たちが雪の中で寝そべってスノーエンジェルを作っている	スノースーツを着た二人の人が雪の中で寝そべってスノーエンジェルを作っている	4.0	entailment
