男性が子供を抱き上げて立っています。	坊主頭の男性が子供を抱いて立っています。
女の学生が、テニスの練習をしている。	女の学生が、テニスの練習をしている。
林の中を1台の自転車が走行しています。	林の中で1台の自転車が走行しています。
道路を荷物を持った人たちが路上を歩いています。	路上を荷物を持った人たちが歩いています。
路上を荷物を持った人たちが歩いています。	荷物を持った人たちが路上を歩いています。
キリンが木々のあいだから顔を出しています。	キリンが、木の中から首を出しています。
真っ赤な二階建てのバスが、停まっています。	赤い二階建てバスが止まっています
りんごとバナナがボウルに、入っています。	入れ物にバナナとりんごが入っている。
ハングルが描かれた誕生日ケーキがあります。	ハングルでデコレーションがされたケーキです。
大きな黒い色の車にひかれたキャンピングカーが３台並んでいます。	駐車場には、三台のピックアップトラックにひかれたキャンピングカーが止まっています。
壁の傍の観葉植物の隣にクマのぬいぐるみが置かれています。	植物の隣にクマのぬいぐるみが置いてあります。
男性がテニスのラケットを振っています。	男性が、テニスでラケットを振っています。
ピッチャーが投球している瞬間です。	野球選手が、ボールを投げようとしています。
ネクタイとペンが机の上に置かれています。	机の上にはネクタイとペンが置いてあります。
広げられた旅行鞄の蓋の上に猫が座っています。	広げられたスーツケースの蓋にネコが座っています。
線路の上を黄色い電車が走っています。	線路の上を黄色い電車が走っています。
服が積まれた室内に犬が一匹います。	テーブルにはシャツやズボンがたたんで重ねられていて、そのもとの絨毯には犬が寝そべっています。
うっそうとした森のなかに牛が数頭佇んでいます。	木や草が茂る中に牛が数頭佇んでいます。
黒い帽子を被り黒い服を着た女性が、黒い傘をさして立っています。	道ばたで黒い色の洋服を着て黒い傘を持った女性が立っています。
男性が両手でフリスビーを持っています。	通りにいる男性が両手でフリスビーを持っています。
自転車に乗った人達が、道を横断しています。	自転車が横断歩道を渡っている。
ソファに座っている女性が大きなブラシを持っています。	ソファーに座った女の人が大きなブラシを持っています。
雪の中、柵の奥にシマウマが2頭います	柵の中の雪の上で、シマウマ二頭が佇んでいます。
通りの脇に縦型の信号機が置いてあり、青信号を示しています。	道路脇に設置されている信号機が青色で点灯しています。
ボードを持った人が一人で波打つ際に立っています。	サーフボードを持った人が波打ち際に立っています。
壁に時計のついた建物の前にたくさんの人が行きかっています。	壁面に時計がつけられた建物の前に多くの人がいます。
男の人のネクタイは紫色のストライプです。	男性が紫色のネクタイをしています。
白い布の上に、裁縫道具が並べられています。	白い布が敷かれた机の上に、裁縫道具が並んでいます。
女性は男性がネクタイをするのを撮影しています。	ネクタイを締める男性の隣で女性がカメラを構えています。
雪山でスノーボードをしている人がいます。	一面の雪景色の中で人がスノーボードをしています。
スケートボードに乗った男性がジャンプしています。	男性がスケートボードに乗ってジャンプしています。
広い海でサーファーが海の中に入っています。	静かな海でサーフィンを持った男性が海の中に入っています。
線路の上を黄色い電車が走っています。	線路の合流地点を黄色い列車が走っています。
男性がビザを持ってポーズを取っています。	ピザを手にした男性が親指を立てて笑顔を見せています。
洗面台のとなりにカーテンがかけられています。	洗面台のとなりにあるカーテンがしまっています。
草原を二頭の大きなゾウが悠々と歩いています。	低い草が茂る草原に二頭の象がいます。
海辺のベンチに人が座っています。	海の見える海岸のベンチに人が座っています。
芝生の上に停められたバイクの周りに二人の男性がいます。	芝生の上にバイクを停めて、２人の男性が立っています。
四人のスノーボーダーが雪山を滑っています。	雪山でスノボーをしている人が４人います。
雪山でスノボーをしている人が４人います。	雪山でスノボーをしている人が４人います。
全身が長い毛に覆われた犬が生のにんじんをかじっています。	黒い毛がフサフサの犬がニンジンを食べています。
二人の女性が両手にコントローラーを持ってテレビゲームを操作しています。	女性二人がテレビゲームをしています。
川のそばの草原に牛の群れがいます。	川のそばの草原に牛が放牧されています。
雪山でニット帽を被ったスキーヤーが転んでいます。	雪山でニット帽を被ったスノーボーダーが転んでいます。
一頭のシマウマが地面に生えた草を食べています。	一頭のシマウマが地面に生えた草を食べています。
コートで握手する女子テニスプレーヤー。	テニスプレーヤー同士がコートの中央で握手をしています。
一匹の犬と一匹の猫が窓の前にいます。	一匹の犬と一匹の猫が窓の前にいます。
フードプロセッサーの中に白い粉が入っています。	フードプロセッサーの中に白い粉末があります。
砂浜で女性と男性が、子供のそばで座っています。	浜辺に海の方を向いて男女と幼い子どもが座っています。
砂浜にサーフボードが刺さっています。	海岸にサーフィンボードが刺さっています。
屋外に道先案内の標識が立っています。	屋外に案内標識が設置されています。
敷布団の上に掛け布団と毛布が折りたたまれています。	敷布団の上に、掛布団と毛布がたたんであります。
雪の平原に立つ、スキーを履いてストックを持って、肩を組んでいる男女です。	雪の上で男性と女性がスキー履いて立っています。
数人の男女が屋外で食事をしています。	数人の男女が外で食事をしています。
２頭のキリンが連なって歩いている。	キリンが2頭、前後して歩いています。
キッチンの冷蔵庫にたくさんのシールが貼ってあります。	キッチンにステッカーの貼られた冷蔵庫があります。
キッチンにある白い冷蔵庫にたくさんのステッカーが貼ってあります。	キッチンの白い冷蔵庫にたくさんのシールが貼ってあります。
雪山に三人の人がスキー姿で立っています。	スキー場の斜面に３人のスキーヤーがいます。
草の生えた岩場の広場で、フリスビーをしている人達がいます。	森林の岩場のある広場で、フリスビーをしている人たちがいます。
浴槽の近くに洗面台が設置されています。	洗面台が設置されているバスルームです。
壁に広告がある所のベンチに女性が二人座っています。	ベンチに二人の女性が座っています。
お皿にピザが二切れ乗せられています。	お皿の上にピザが2枚並べられています。
ジェット飛行機が飛行場に停まっています。	飛行場にジェット飛行機が止まっています。
野球選手がバットにサインをしています。	野球選手がバットにサインをしています。
ベッドの上に赤ん坊と子供が並んで横たわっています。	赤ちゃんと少年がベッドに寝そべっています。
ドーナツをフライヤーで揚がっています。	ドーナッツが油の中で揚げられています。
広場の上で男性がスケボーをしています。	男性が広場でスケートボードをしています。
女の子がスキーを履いて立っています。	小さな子がスキーを履いて、ゲレンデに立っています。
草原に茶色と黒色の牛が五頭います。	茶色や黒い色の牛が５頭、草原で立っています。
