pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
4	幼い男の子たちが戸外で遊んでいて、その男性が近くで微笑んでいる	戸外で遊んでいる男の子は一人もおらず、微笑んでいる男性は一人もいない	2.3	contradiction
24	黒いジャケットを着た人がバイクに乗って芸をしている	上手な人が後輪走行で自転車に乗っている	1.7	neutral
105	四人の子供たちが体育館でバックベンドをしている	四人の女の子たちが戸外でバックエンドをして遊んでいる	4.0	contradiction
116	選手がボールを投げている	二つのチームがサッカーの試合で対戦している	1.7	neutral
119	五人の子供たちが木造小屋の前に立っている	五人の子供たちが木造小屋の中で立っている	4.0	contradiction
185	紫色の照明のある混雑したレストランの赤いテーブルで食事をしている人はほとんどいない	大人数のアジア人のグループがレストランで食事をしている	2.0	neutral
197	誰かが黒と白のオートバイに乗り、シートの上で立ち上がっている	オートバイ乗りがオートバイを走らせながらシートの上で立ち上がっている	2.7	neutral
211	二匹の犬が木のそばで遊んでいる	二匹の犬が植物のそばで遊んでいる	4.0	entailment
218	白い服を着た女の子がダンスをしている	女の子が白い服を着てダンスをしている	4.3	entailment
219	白い服を着てダンスをしている女の子は一人もいない	白い服を着た女の子がダンスをしている	3.3	contradiction
225	ブロンドの、ダンスをしている女の子の前にある機器は音響用だ	白い服を着た女の子がダンスをしている	2.7	neutral
228	白い服を着た女の子がダンスをしている	そのブロンドの女の子は音響機器の前でダンスをしている	2.7	neutral
236	家族のその子供は遊んで待っている	アジア人の男性がダンスをしていて、三人の子供たちが見ている	1.7	neutral
253	ハイカーが山の頂上にいて、喜びのダンスをしている	ハイカーが山の頂上にいて、ダンスをしている	4.3	entailment
280	男の子が水の外側で立っている	その男の子は青い海の中を歩いている	2.3	neutral
285	頭の禿げた人がギターを弾いている	ある人はブロンドのふわふわの髪をしていて、ギターを弾いている	3.3	neutral
304	年を取ったトップレスの女性がペイントで覆われている	若いトップレスの女性がペイントで覆われている	4.0	neutral
317	制服を着た子供たちのグループが門のところに立っていて、母親にキスしている子供は一人もいない	大勢の人々が水域の近くにいる	1.0	neutral
382	茶色と白の犬が丈の高い草の中を走っている	茶色と白の犬が野草の中を進んでいる	4.0	entailment
384	白と黄褐色の犬が丈の高い緑色の草の中を走っている	白と黄褐色の犬が野原を走り抜けている	3.7	neutral
394	男性が自転車の近くに座ってメモを書いている	男性がバイクの近くに立って一枚の紙に書いている	3.0	neutral
402	ボーイスカウトのグループが草原をハイキングしている	探検者のグループが草原を歩いている	3.7	neutral
417	二人の男性が雪の積もった道路を歩くのを休んでいる	車を伴った二人の男性が雪の積もった道路のわきにいる	2.3	neutral
450	女性がサーフィンをして波に乗っている	ブロンドの女の子が波を見ている	2.7	neutral
520	シルバーのバンツ、ピンク色のベルボトム、そしてピンク色のスカーフを身に着けている女性は自転車に乗っている	ピンク色のベルボトムとピンク色のスカーフは、シルバーのパンツを穿いているか、または自転車に乗っている女性たちに身に着けられることはない	2.3	contradiction
526	シルバーのバンツ、ピンク色のベルボトム、そしてピンク色のスカーフを身に着けている女性は自転車に乗っている	歩行者の女性がボアを着た自転車乗りのためにピンク色の自転車を組み立てている	1.3	neutral
530	自転車乗りが黒い衣服を着ている	黒い衣服を着た自転車乗りが衣服を破っている	3.3	neutral
592	女性がとても大きなマントを脱いで、贅沢なドレスを披露している	女性がとても大きなマントを着て、贅沢なドレスを隠している	2.7	contradiction
619	男の子が、クライミングのために人工的に造られた壁を登っていて、ロープに連結されている	怖がっている様子の小さな男の子がクライミングウォールの上にいる	1.5	neutral
630	男性が、海の近くにあるスイミングプールに子供を放り込んでいない	その男性は、海の近くにあるスイミングプールに子供を放り込んでいる	3.5	contradiction
647	一人の男性がロープで崖を登っている	ピンク色の登山服を着た人が岩をロープで縛った	2.0	neutral
651	ある人がピンク色のロープで岩を登っている	一人の男性がロープで崖を登っている	4.0	neutral
687	一匹の白い犬が黒い街路を凝視している	品種の異なる二匹の犬が街路をはさんで互いを見ている	2.5	neutral
698	毛のふわふわした黒い犬が裏の庭にいて、パスケットを口にくわえて運んでいる	たぶん松である木のそばにいる犬がバケツに噛みついている	1.5	neutral
